Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,source,Outlet_Years,Item_Visible_Avg,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,New_Item_Type_1,New_Item_Type_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
DRK49,14.15,0.035913805,Soft Drinks,41.4138,OUT013,1987,812.276,train,22,1.0320655400408245,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0.079806266,Dairy,232.53,OUT046,1997,699.09,train,12,0.9990697472460142,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0.005505481,Frozen Foods,102.4016,OUT017,2007,2732.4432,train,2,0.8796765744587313,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,12.792854228644991,0.064625342,Meat,176.937,OUT019,1985,176.437,train,24,2.2590030521565168,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
FDX34,12.792854228644991,0.071636937,Snack Foods,121.7098,OUT027,1985,4097.3332,train,24,0.9942317071612333,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDV11,9.1,0.0,Breads,173.2054,OUT045,2002,3151.8972,train,7,0.0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0.032677678,Frozen Foods,239.0906,OUT049,1999,5942.265,train,10,0.9600513321983416,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,0.160760054,Frozen Foods,192.4478,OUT017,2007,4843.695,train,2,0.9643770890741937,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0.06911065,Snack Foods,109.0228,OUT035,2004,2542.0244,train,5,0.9988808423019978,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0.041177505,Soft Drinks,140.3154,OUT017,2007,2552.6772,train,2,1.178594921346777,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0.040081193,Snack Foods,227.0694,OUT018,2009,1141.847,train,1,0.8782920723575603,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0.035307322,Household,47.5034,OUT017,2007,680.4476,train,2,0.8796766231887589,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.063017847,Soft Drinks,159.0578,OUT045,2002,2085.9514,train,7,0.9315179229166382,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,0.171938781,Canned,92.512,OUT010,1998,186.424,train,11,1.7289048798428783,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FDJ38,8.6,0.040197932,Canned,190.153,OUT035,2004,3036.048,train,5,1.0268322866030557,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,0.049058014,Breads,62.7194,OUT017,2007,866.8716,train,2,0.9348909916042779,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.01161096,Frozen Foods,95.041,OUT035,2004,868.869,train,5,1.1524417273242415,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0.183507295,Soft Drinks,82.4276,OUT046,1997,1137.1864,train,12,0.9990697492376227,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.102349519,Dairy,52.7956,OUT017,2007,928.1252,train,2,0.8796766148142434,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0.086708987,Hard Drinks,151.7682,OUT013,1987,762.341,train,22,1.0363413496738674,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,0.032835147,Household,40.2822,OUT045,2002,707.0796,train,7,1.0010958955480702,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
FDY25,12.792854228644991,0.033809913,Canned,180.5976,OUT027,1985,7968.2944,train,24,1.1363659495637664,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
NCH54,13.5,0.07266912,Household,160.292,OUT046,1997,1438.128,train,12,0.862651744964282,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
NCR53,12.792854228644991,0.144338493,Health and Hygiene,224.4404,OUT027,1985,6976.2524,train,24,0.954309088738357,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
FDS52,8.89,0.009163216,Frozen Foods,101.7016,OUT010,1998,101.2016,train,11,1.464116661542459,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FDG02,7.855,0.011307038,Canned,188.5188,OUT018,2009,952.094,train,1,0.926046942176665,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.076855628,Household,116.0492,OUT046,1997,1969.4364,train,12,0.9296326048503732,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
FDH35,12.792854228644991,0.059956876,Starchy Foods,165.4526,OUT027,1985,5262.4832,train,24,1.0319385007878608,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
FDB51,6.92,0.038532062,Dairy,60.5852,OUT045,2002,1314.2892,train,7,1.001095885421211,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,535.3032,train,2,0.9275067689403469,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,0.056816465,Others,132.1284,OUT010,1998,263.6568,train,11,1.4641166640747971,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NCC31,8.02,0.019866705,Household,154.5972,OUT035,2004,1402.1748,train,5,0.9583206892729483,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
NCX54,9.195,0.048331717,Household,105.1622,OUT017,2007,1693.7952,train,2,0.9348909809950855,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
NCO55,12.8,0.091221855,Others,105.5938,OUT045,2002,2143.876,train,7,0.8765027636722214,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
NCC30,16.6,0.027622076,Household,177.6344,OUT049,1999,2676.516,train,10,0.9310779320436927,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
